number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
12,0.9402376896508824,2026-04-10 09:03:54.120246,2026-04-10 09:03:58.581821,0 days 00:00:04.461575,0.9525624712167782,8,0.7409746660271866,0.026123374183389562,140,1900,100,0.0030371268467802204,8.293752538812425,COMPLETE
13,0.9444343496311969,2026-04-10 09:03:58.583109,2026-04-10 09:04:00.756080,0 days 00:00:02.172971,0.7915093847851775,9,0.647441902153615,0.05484470775341641,90,1650,110,9.489354947729776,0.024800628752107357,COMPLETE
14,0.9406551020601936,2026-04-10 09:04:00.756364,2026-04-10 09:04:05.065013,0 days 00:00:04.308649,0.8977910670299907,7,0.9958579808598216,0.01613552085289253,140,400,70,0.015936847132187043,0.076293731915955,COMPLETE
15,0.9449234870753302,2026-04-10 09:04:05.065312,2026-04-10 09:04:09.253484,0 days 00:00:04.188172,0.7148967450430752,9,0.7842567150859746,0.021631834598042354,60,1650,130,9.733892177913486,6.299677920979932,COMPLETE
16,0.9363427885202636,2026-04-10 09:04:09.254313,2026-04-10 09:04:18.595059,0 days 00:00:09.340746,0.7182937001295728,6,0.7963595474970749,0.013255730115988953,60,1700,140,3.154443500139822e-05,1.314053143275926e-08,COMPLETE
17,0.9382531703926857,2026-04-10 09:04:18.595355,2026-04-10 09:04:31.547504,0 days 00:00:12.952149,0.9082789714673284,8,0.8138046551270606,0.012037479976522346,60,1600,130,2.1219899323605756e-08,9.719075157266074,COMPLETE
18,0.9342897805154132,2026-04-10 09:04:31.547800,2026-04-10 09:04:33.112380,0 days 00:00:01.564580,0.70087420925342,9,0.6581013940825866,0.08545439328440281,10,2000,70,0.00022163473160045685,3.524132416143815e-05,COMPLETE
19,0.9430254826689202,2026-04-10 09:04:33.112652,2026-04-10 09:04:50.367523,0 days 00:00:17.254871,0.5928426933510111,6,0.9389148411573505,0.0023804179487405654,90,1750,270,0.10250247779169537,1.9754817211229603,COMPLETE
20,0.9396512114530362,2026-04-10 09:04:50.369471,2026-04-10 09:04:59.459631,0 days 00:00:09.090160,0.8859500894682302,9,0.7682180312981074,0.009730419942732169,160,1500,130,0.008225723319543179,0.028214456422822446,COMPLETE
21,0.9451936989651866,2026-04-10 09:04:59.459913,2026-04-10 09:05:01.655918,0 days 00:00:02.196005,0.7648752792708908,10,0.6579847353498133,0.03233530890995076,120,1250,20,6.664638121907384,0.24901505396587242,COMPLETE
22,0.9456139590766732,2026-04-10 09:05:01.656198,2026-04-10 09:05:05.097472,0 days 00:00:03.441274,0.7718867183428229,9,0.6677484690709268,0.024050233082652347,110,1050,60,9.489175007246143,2.408777083666565,COMPLETE
23,0.9375939848105814,2026-04-10 09:05:05.097773,2026-04-10 09:05:07.045993,0 days 00:00:01.948220,0.7709725188808977,7,0.6618159730157259,0.07089678993442632,110,1200,60,0.21549895303348407,1.084858854083789,COMPLETE
24,0.9420498890835565,2026-04-10 09:05:07.046783,2026-04-10 09:05:08.879540,0 days 00:00:01.832757,0.6473516572077354,10,0.6057513413855059,0.04446343717177456,180,1000,20,0.3878966562999543,0.0985671973829378,COMPLETE
25,0.9415093906760528,2026-04-10 09:05:08.879855,2026-04-10 09:05:11.775036,0 days 00:00:02.895181,0.9997777182554021,8,0.6904758516907892,0.02943462802593226,120,550,50,0.04441977363027946,2.7215824228865433,COMPLETE
26,0.9390496995715893,2026-04-10 09:05:11.775320,2026-04-10 09:05:13.377623,0 days 00:00:01.602303,0.8499463000384876,9,0.7210083463403214,0.129838556915857,100,1100,80,1.3753610263051286,0.0050925963450674,COMPLETE
27,0.9459004604886745,2026-04-10 09:05:13.377912,2026-04-10 09:05:18.171551,0 days 00:00:04.793639,0.7528957143076709,10,0.6232931827415775,0.008521306006851168,130,950,110,9.268568703915875,0.619698672912845,COMPLETE
28,0.9439507847850216,2026-04-10 09:05:18.171835,2026-04-10 09:05:32.037786,0 days 00:00:13.865951,0.9408695718109572,7,0.5588908514251462,0.003004923024293588,150,900,100,0.0004892677800474457,0.03454002138141164,COMPLETE
29,0.9453975007445576,2026-04-10 09:05:32.038075,2026-04-10 09:05:34.481251,0 days 00:00:02.443176,0.5436648057779812,8,0.610493427358525,0.008399705195172595,130,300,150,0.48339848293388055,0.0025244715620066104,COMPLETE
